locationid,locationname,time,is_ericson,subsidence_ericson_natural,subsidence_ericson_total,subsidence_non_ericson
DELTA_GLOBAL_102,Murray,1995,FALSE,0,0,1
DELTA_GLOBAL_103,Neman,1995,FALSE,0,0,1
DELTA_GLOBAL_104,Olenyok,1995,FALSE,0,0,1
DELTA_GLOBAL_105,Ombrone,1995,FALSE,0,0,1
DELTA_GLOBAL_106,Parnaiba,1995,FALSE,0,0,1
DELTA_GLOBAL_107,Semani,1995,FALSE,0,0,1
DELTA_GLOBAL_108,Shkumbin,1995,FALSE,0,0,1
DELTA_GLOBAL_109,Sinu,1995,FALSE,0,0,1
DELTA_GLOBAL_110,Vjose,1995,FALSE,0,0,1
DELTA_GLOBAL_111,Tordera,1995,FALSE,0,0,1
DELTA_GLOBAL_112,Tumen,1995,FALSE,0,0,1
DELTA_GLOBAL_113,Var,1995,FALSE,0,0,1
DELTA_GLOBAL_114,Waipaoa,1995,FALSE,0,0,1
DELTA_GLOBAL_115,Yana,1995,FALSE,0,0,1
DELTA_GLOBAL_116,Nile – West,1995,TRUE,0.4,0.4,0
DELTA_GLOBAL_117,Dnepr,1995,TRUE,2.5,2.5,0
